correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent,compared_with,exp_with,ground_truth_type,clean_subharmonic_method,method_focus
-0.3991403209838082,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0066725966654548, 0.0081610676922941, 0.0045066484593329, 0.0020429232409407, 0.0024210277917483]",0.1766682270789338,Smallest_ratio_and_choose_top_3_ratio,16,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3991403209838082,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0066725966654548, 0.0081610676922941, 0.0045066484593329, 0.0020429232409407, 0.0024210277917483]",0.1766682270789338,Smallest_ratio_and_filter_by_smallest_delta_t,16,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3997587935273838,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0040296023291283, 0.0044517414569505, 0.0026744522867985, 0.0043820998743692, 0.0019553764949459, 0.0022130913031182, 0.0045066484593329, 0.0005817479046293, 0.0007664222698472]",0.17593644744244,Smallest_ratio_and_filter_by_smallest_t_sub,16,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,16,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,16,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,16,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.3982727845106393,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0118138628711075, 0.0081610676922941, 0.0011645806103769, 0.0041372550957016, 0.0038656528030411]",0.1776979637777916,Smallest_delta_t_and_choose_top_3_delta_t,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.3960674151440287,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0094182618071886, 0.0081610676922941, 0.0060871760703052, 0.006552676273445, 0.0055034029421078]",0.1803328354903793,Smallest_delta_t_and_filter_by_smallest_ratio,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.4003510677921515,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0040296023291283, 0.0044517414569505, 0.0011231425395714, 0.000526900531815, 0.0018389414140227, 0.0009923295764936, 0.0010591919295926, 0.0013036409054735, 0.0013739327456635]",0.1752374799773861,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3960674151440287,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0094182618071886, 0.0081610676922941, 0.0060871760703052, 0.006552676273445, 0.0055034029421078]",0.1803328354903793,Smallest_ratio_and_choose_top_3_ratio,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3962012080102037,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0118138628711075, 0.0081610676922941, 0.0045066484593329, 0.006552676273445, 0.0055034029421078]",0.1801722832051496,Smallest_ratio_and_filter_by_smallest_delta_t,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3994198038867034,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0040296023291283, 0.0044517414569505, 0.0026744522867985, 0.0043820998743692, 0.0027623177700668, 0.0022130913031182, 0.0045066484593329, 0.0008392374680297, 0.001286921313831]",0.1763373018295747,Smallest_ratio_and_filter_by_smallest_t_sub,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,17,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.3951084926440573,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0118138628711075, 0.0081610676922941, 0.0137156105706126, 0.0041372550957016, 0.0046564379901029]",0.1814862078957631,Smallest_delta_t_and_choose_top_3_delta_t,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.389994449961253,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0070611841108649, 0.0094182618071886, 0.0091622030129608, 0.0137156105706126, 0.006552676273445, 0.0169803023083946]",0.1877162159363852,Smallest_delta_t_and_filter_by_smallest_ratio,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.4001988022493391,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0040296023291283, 0.0044517414569505, 0.0011231425395714, 0.0043820998743692, 0.0018389414140227, 0.0009923295764936, 0.0010591919295926, 0.0013036409054735, 0.0015216087086557]",0.1754170054148275,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3813709212695595,"[0.0, 0.0, 0.8841735354170255, 1.0, 0.01514875495588, 0.0156873139982677, 0.0138113544129781, 0.0107855006767886, 0.0143857839564479, 0.0139946707585647, 0.014022727137201, 0.0100087879415681, 0.0259363102793862]",0.1985236398263618,Smallest_ratio_and_choose_top_3_ratio,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.389878396992548,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0118138628711075, 0.0081610676922941, 0.0137156105706126, 0.006552676273445, 0.0169803023083946]",0.187859138546629,Smallest_ratio_and_filter_by_smallest_delta_t,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3984481230644313,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0040296023291283, 0.0044517414569505, 0.0026744522867985, 0.0043820998743692, 0.0066725966654548, 0.0034293393313226, 0.0045066484593329, 0.0008392374680297, 0.0024210277917483]",0.1774895354477459,Smallest_ratio_and_filter_by_smallest_t_sub,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,18,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.391099644701786,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0041372550957016, 0.0046564379901029]",0.1863585752757628,Smallest_delta_t_and_choose_top_3_delta_t,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.3745102921311025,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0102994345723547, 0.0102703634876317, 0.0144606281882547, 0.0170088018185473, 0.0094182618071886, 0.0091622030129608, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2073936792687383,Smallest_delta_t_and_filter_by_smallest_ratio,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.3996037718657457,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0078505607855786, 0.0044517414569505, 0.0021224142986036, 0.0043820998743692, 0.0018389414140227, 0.0009923295764936, 0.0011645806103769, 0.0027763040899162, 0.0038656528030411]",0.1761196880003797,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3587810530801318,"[0.0, 0.0, 0.8841735354170255, 1.0, 0.0157317181943674, 0.0156873139982677, 0.0220876715098291, 0.0128840828636449, 0.0143857839564479, 0.0139946707585647, 0.0498898530632243, 0.0282430135300017, 0.056455979487436]",0.2286434052576453,Smallest_ratio_and_choose_top_3_ratio,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3748192707142978,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2069890087687777,Smallest_ratio_and_filter_by_smallest_delta_t,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3971813423308714,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0078505607855786, 0.0044517414569505, 0.0031169652210173, 0.0089665605294335, 0.0066725966654548, 0.0034293393313226, 0.0060871760703052, 0.0020429232409407, 0.0055034029421078]",0.1789988852946219,Smallest_ratio_and_filter_by_smallest_t_sub,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,19,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.391099644701786,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0041372550957016, 0.0046564379901029]",0.1863585752757628,Smallest_delta_t_and_choose_top_3_delta_t,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.3743370686353229,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0102994345723547, 0.0086884648326504, 0.0144606281882547, 0.0170088018185473, 0.0094182618071886, 0.0091622030129608, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2076207653535593,Smallest_delta_t_and_filter_by_smallest_ratio,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.4002313272930091,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0078505607855786, 0.0102703634876317, 0.0021224142986036, 0.0043820998743692, 0.0018389414140227, 0.0009923295764936, 0.0011645806103769, 0.0027763040899162, 0.0038656528030411]",0.1753786476074436,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3585434652633321,"[0.0, 0.0, 0.8841735354170255, 1.0, 0.0157317181943674, 0.0132710664191032, 0.0220876715098291, 0.0128840828636449, 0.0143857839564479, 0.0139946707585647, 0.0498898530632243, 0.0282430135300017, 0.056455979487436]",0.2289741523981926,Smallest_ratio_and_choose_top_3_ratio,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3748192707142978,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2069890087687777,Smallest_ratio_and_filter_by_smallest_delta_t,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3939768919694474,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0031169652210173, 0.0089665605294335, 0.0066725966654548, 0.0034293393313226, 0.0060871760703052, 0.0020429232409407, 0.0169803023083946]",0.1828532813065426,Smallest_ratio_and_filter_by_smallest_t_sub,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,20,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.391099644701786,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0041372550957016, 0.0046564379901029]",0.1863585752757628,Smallest_delta_t_and_choose_top_3_delta_t,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.3743370686353229,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0102994345723547, 0.0086884648326504, 0.0144606281882547, 0.0170088018185473, 0.0094182618071886, 0.0091622030129608, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2076207653535593,Smallest_delta_t_and_filter_by_smallest_ratio,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.4002313272930091,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0078505607855786, 0.0102703634876317, 0.0021224142986036, 0.0043820998743692, 0.0018389414140227, 0.0009923295764936, 0.0011645806103769, 0.0027763040899162, 0.0038656528030411]",0.1753786476074436,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3585434652633321,"[0.0, 0.0, 0.8841735354170255, 1.0, 0.0157317181943674, 0.0132710664191032, 0.0220876715098291, 0.0128840828636449, 0.0143857839564479, 0.0139946707585647, 0.0498898530632243, 0.0282430135300017, 0.056455979487436]",0.2289741523981926,Smallest_ratio_and_choose_top_3_ratio,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3748192707142978,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2069890087687777,Smallest_ratio_and_filter_by_smallest_delta_t,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3928874819020989,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0066725966654548, 0.0034293393313226, 0.0060871760703052, 0.006552676273445, 0.0169803023083946]",0.1841755337684754,Smallest_ratio_and_filter_by_smallest_t_sub,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,21,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.391099644701786,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0041372550957016, 0.0046564379901029]",0.1863585752757628,Smallest_delta_t_and_choose_top_3_delta_t,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.374710144119568,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0102994345723547, 0.0121030007512761, 0.0144606281882547, 0.0170088018185473, 0.0094182618071886, 0.0091622030129608, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2071318762896302,Smallest_delta_t_and_filter_by_smallest_ratio,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.4002313272930091,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0078505607855786, 0.0102703634876317, 0.0021224142986036, 0.0043820998743692, 0.0018389414140227, 0.0009923295764936, 0.0011645806103769, 0.0027763040899162, 0.0038656528030411]",0.1753786476074436,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3590548002184623,"[0.0, 0.0, 0.8841735354170255, 1.0, 0.0157317181943674, 0.0184865485369806, 0.0220876715098291, 0.0128840828636449, 0.0143857839564479, 0.0139946707585647, 0.0498898530632243, 0.0282430135300017, 0.056455979487436]",0.228262681480729,Smallest_ratio_and_choose_top_3_ratio,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3748192707142978,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2069890087687777,Smallest_ratio_and_filter_by_smallest_delta_t,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3928874819020989,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0066725966654548, 0.0034293393313226, 0.0060871760703052, 0.006552676273445, 0.0169803023083946]",0.1841755337684754,Smallest_ratio_and_filter_by_smallest_t_sub,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
0.616829727671509,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0661548357867003, 0.0946124721748221, 0.1597428239254548, 0.0852191017657928, 0.1181544940949277, 0.0796315512475953, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0247308583182449,Smallest_t_sub_and_filter_by_smallest_delta_t,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
0.6117012804065789,"[0.0, 0.1310116144078594, 0.0869765634637853, 0.0805819431379665, 0.0946124721748221, 0.1597428239254548, 0.1043522459952095, 0.1181544940949277, 0.0634839599837056, 0.2023952518623577, 0.2577716487800783, 0.1823876467906527, 1.0]",0.0263047441897585,Smallest_t_sub_and_filter_by_smallest_ratio,22,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
-0.391099644701786,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0041372550957016, 0.0046564379901029]",0.1863585752757628,Smallest_delta_t_and_choose_top_3_delta_t,23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
-0.3742274765332813,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0102994345723547, 0.0121030007512761, 0.0144606281882547, 0.0170088018185473, 0.0094182618071886, 0.0121085528696387, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2077645139499457,Smallest_delta_t_and_filter_by_smallest_ratio,23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
-0.3990791060618193,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0078505607855786, 0.0102703634876317, 0.0021224142986036, 0.0043820998743692, 0.0018389414140227, 0.0081610676922941, 0.0011645806103769, 0.0027763040899162, 0.0038656528030411]",0.1767407621663123,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
-0.3583861397611498,"[0.0, 0.0, 0.8841735354170255, 1.0, 0.0157317181943674, 0.0184865485369806, 0.0220876715098291, 0.0128840828636449, 0.0143857839564479, 0.0184950290376186, 0.0498898530632243, 0.0282430135300017, 0.056455979487436]",0.2291933261902994,Smallest_ratio_and_choose_top_3_ratio,23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
-0.3748192707142978,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0126343693345284, 0.0102703634876317, 0.0134740712549331, 0.0170088018185473, 0.0118138628711075, 0.0081610676922941, 0.0326625020293743, 0.0184904831363259, 0.0369612943586312]",0.2069890087687777,Smallest_ratio_and_filter_by_smallest_delta_t,23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
-0.3885518097624955,"[0.0, 0.0, 1.0, 0.6546922875876561, 0.0099177730361699, 0.0102703634876317, 0.0090421872153165, 0.0089665605294335, 0.0066725966654548, 0.0081610676922941, 0.0060871760703052, 0.0184904831363259, 0.0169803023083946]",0.1894977480560119,Smallest_ratio_and_filter_by_smallest_t_sub,23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
-0.017090166572328,"[0.3018200784198099, 0.0, 0.7214823642898025, 0.9912374823239092, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.1017991798352541, 0.506620074603839]",0.955808821648524,Smallest_t_sub_and_choose_top_3_t_sub,23,10**12,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
