correlation,p_value,scores_based_on_emp_rank,periods_considered,harmonics_considered,ground_truth_type
0.7764215192661162,0.0018015161372354795,"[0.0, 0.0, 0.1525, 0.22875, 0.3796081319347403, 0.5038811982031924, 0.3367164078031132, 0.7368401583494073, 0.5985610404429016, 0.47869557833114884, 1.0, 0.35440005777489264, 0.6561570455267091]",32,6,Intervals - Ranking Order
0.7238072827083238,0.005156477097982869,"[0.1695189293132494, 0.0, 0.09248402411135381, 0.15755245056695646, 0.34367153827392266, 0.23051764956357304, 0.2963126010513535, 0.4245193789003864, 0.3733689295095789, 0.22554139890733, 0.5197348735574095, 0.2518619999626544, 1.0]",4,13,Intervals - Ranking Order
0.7180381095891566,0.005706845860692465,"[0.1695189293132494, 0.0, 0.1109896930301223, 0.16474176835559906, 0.3620430070178216, 0.23051764956357304, 0.2963126010513535, 0.4333824375004709, 0.38710731285362854, 0.22554139890733, 0.5197348735574095, 0.2518619999626544, 1.0]",5,13,Intervals - Ranking Order
0.7457303904403298,0.0034274386557773145,"[0.13900801976405702, 0.0, 0.07832848734866397, 0.18705823727790397, 0.36491227224195355, 0.20224776211815368, 0.2704599436723306, 0.42894589161512137, 0.3645903476861734, 0.2543347321102168, 0.5020904908619629, 0.27825390502100567, 1.0]",6,13,Intervals - Ranking Order
0.7753948196889789,0.001843543916281689,"[0.1133234028861684, 0.0, 0.06255741899368802, 0.16280702681502537, 0.34596670091753284, 0.21403738500279823, 0.24869672488054284, 0.43452848341932243, 0.3827197356562774, 0.23209047529420224, 0.4872371411495027, 0.3276532732071476, 1.0]",7,13,Intervals - Ranking Order
0.8270349954071792,0.0004873375979560465,"[0.183, 0.0, 0.1362232958722922, 0.22859511425188317, 0.4679829565818585, 0.34587841929084284, 0.37835907581674266, 0.5960498816569259, 0.4312266979748908, 0.2924341482263195, 0.5275309430242305, 0.6110998529854363, 1.0]",8,13,Intervals - Ranking Order
0.842268460887411,0.00030273311204919047,"[0.183, 0.0, 0.27681317170725156, 0.22859511425188317, 0.4679829565818585, 0.34587841929084284, 0.37835907581674266, 0.5960498816569259, 0.4312266979748908, 0.3514020050346758, 0.5892757353389024, 0.6110998529854363, 1.0]",9,13,Intervals - Ranking Order
0.8291526633093086,0.00045738218329159137,"[0.183, 0.0, 0.4039209833299111, 0.22859511425188317, 0.4679829565818585, 0.34587841929084284, 0.37835907581674266, 0.5960498816569259, 0.6026749936061286, 0.3514020050346758, 0.6169491506138478, 0.6110998529854363, 1.0]",10,13,Intervals - Ranking Order
0.8593769991849236,0.00016665686892029056,"[0.20108727563210516, 0.0, 0.36466680543022495, 0.32117755427101674, 0.4806621435120659, 0.3465155831055992, 0.544400299145848, 0.604390143715523, 0.756429338302984, 0.46084062911288565, 0.8977502961280323, 0.5784654835252271, 1.0]",11,13,Intervals - Ranking Order
0.8068172905820488,0.0008588304343194208,"[0.2115026627973729, 0.0, 0.10575133139868645, 0.626995598729917, 0.487963333780019, 0.39182883903012, 0.5344600647583678, 0.6091928049989004, 0.7399575230451985, 0.44916924837567423, 0.8769274352738599, 0.5596732895134802, 1.0]",12,13,Intervals - Ranking Order
0.7892792733872324,0.001335846509461144,"[0.2115026627973729, 0.0, 0.10575133139868645, 0.626995598729917, 0.487963333780019, 0.39182883903012, 0.7238249593450554, 0.648990649616451, 0.7399575230451985, 0.44916924837567423, 0.8769274352738599, 0.5596732895134802, 1.0]",13,13,Intervals - Ranking Order
0.7546304649533188,0.002870764296154474,"[0.2115026627973729, 0.0, 0.10575133139868645, 0.626995598729917, 0.8079543878609629, 0.39182883903012, 0.7238249593450554, 0.648990649616451, 0.7399575230451985, 0.6059705517974877, 0.8769274352738599, 0.5596732895134802, 1.0]",14,13,Intervals - Ranking Order
0.6035883955793507,0.02894362728157998,"[0.25223983459682975, 0.0, 0.12611991729841487, 0.47502057398058223, 1.0, 0.5711965671975395, 0.5281901308853719, 0.6168096569989279, 0.6212835532298736, 0.4266593682079398, 0.7298588015112056, 0.4732114271696222, 0.9495101921612539]",15,13,Intervals - Ranking Order
