,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
20,0.33956827734558637,"[0.0, 0.2014916621224196, 0.25359399769950924, 0.41589697119425123, 0.8581420953871857, 0.151943293368259, 0.7363139189091686, 0.09807764748877504, 0.2512271260434693, 0.35359488470429684, 0.1514180202947779, 0.3499678318300798, 1.0]",0.2563296820253911,Smallest_ratio_and_filter_by_smallest_t_sub,7
21,0.40992837201317334,"[0.0, 0.4488782263848622, 0.5035811729001684, 0.6449007452269312, 0.9263595929158318, 0.3897990422875087, 0.8580873608841751, 0.3131735101964645, 0.5012256238895507, 0.5946384487268687, 0.38912468476669265, 0.5915807906195736, 1.0]",0.16418054683939518,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,7
22,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,7
23,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,7
24,0.390017418210669,"[0.0, 0.0, 0.5242702086380894, 1.0, 0.22231818921975746, 0.32185882024359175, 0.9020009686900704, 0.4231562543092789, 0.703176600483471, 0.44907180200637176, 0.3187515760354361, 0.6160262171393677, 0.6544547014402773]",0.18768793800576578,Smallest_delta_t_and_choose_top_3_t_sub,8
25,0.7561491548203936,"[0.0, 0.0, 0.11467511762126212, 0.19511567756893125, 0.33969988867143197, 0.3394318443354945, 0.26630532260703244, 0.5116663632228867, 0.16724794352536118, 0.2023952518623577, 0.25777164878007836, 0.9412816743216315, 1.0]",0.0027832513251035114,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),8
26,0.5684289151398035,"[0.0, 0.0, 0.5072503900314126, 0.2606075790837211, 0.8581420953871857, 0.25295532889676187, 0.7363139189091686, 0.356828808347755, 0.6068589579644325, 0.35359488470429684, 0.13912152085914364, 0.9412816743216315, 1.0]",0.04266736472594564,Smallest_ratio_and_filter_by_smallest_t_sub,8
27,0.6197224767517342,"[0.0, 0.0, 0.71221512903856, 0.5104973840126129, 0.9263595929158318, 0.5029466461730925, 0.8580873608841751, 0.5973514948066632, 0.7790115262076888, 0.5946384487268687, 0.372989974207275, 0.9701967193933566, 1.0]",0.02387439943044731,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,8
28,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,8
29,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,8
30,0.5469286062354659,"[0.0, 0.0, 0.0, 1.0, 0.9322366671597474, 0.32185882024359175, 0.9020009686900704, 0.4231562543092789, 0.703176600483471, 0.7969444729594236, 0.8506419380088761, 0.6160262171393677, 0.6544547014402773]",0.05307688530733989,Smallest_delta_t_and_choose_top_3_t_sub,9
31,0.7572793352113438,"[0.0, 0.0, 0.47516197873654253, 0.19511567756893125, 0.33969988867143197, 0.3394318443354945, 0.26630532260703244, 0.5116663632228867, 0.16724794352536118, 0.35359488470429684, 0.41609162907410885, 0.9412816743216315, 1.0]",0.0027194820469551738,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),9
32,0.5023939666236138,"[0.0, 0.0, 0.555888958481514, 0.4535256626653552, 0.5954861517760921, 0.4197681572126726, 0.5109465488609589, 1.0, 0.745585199446577, 0.47615533400080023, 0.15964679013852753, 0.6531787742288108, 0.6939248814118766]",0.08017942592259696,Smallest_ratio_and_filter_by_smallest_t_sub,9
33,0.5677305020582696,"[0.0, 0.0, 0.7455796124368704, 0.6734431398903364, 0.7716774920756029, 0.6478951745557862, 0.7148052524016306, 1.0, 0.8634727554744138, 0.6900400959370406, 0.399558243737415, 0.8081947625596263, 0.8330215371836892]",0.04298023551605728,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,9
34,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,9
