,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
80,-0.1817446461480399,"[0.8852527877000252, 0.6073902043406474, 0.8082056506300455, 0.0, 0.0289616033013118, 0.3407588438159063, 0.4328786572629065, 0.3839291541466779, 0.0231681947385319, 0.3479159706990183, 0.2465484776943515, 1.0, 0.2900532705958072]",0.5523473202151613,Smallest_ratio_and_filter_by_smallest_t_sub,17
81,-0.168871018545671,"[0.906201086385199, 0.6624949753780596, 0.8411374116152478, 0.0, 0.0379621618361804, 0.3999016603783504, 0.4944833090406907, 0.4447900981090169, 0.0304422544657953, 0.4074155970158281, 0.2981160967059543, 1.0, 0.3458059052868062]",0.5812843909855484,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,17
82,-0.002457732796989763,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.9936421501271681,Smallest_t_sub_and_choose_top_3_delta_t,17
83,0.05912875755735547,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,17
84,-0.5719028910844715,"[0.725158360019106, 0.0611414614452801, 1.0, 0.0325375507518217, 0.0709271779361725, 0.0, 0.1479463377234059, 0.0314931511217942, 0.0615717155537213, 0.0090378670294926, 0.0391717833814027, 0.0255830731433627, 0.0021955794071248]",0.041135494140134454,Smallest_delta_t_and_choose_top_3_t_sub,18
85,-0.09459350641626434,"[1.0, 0.0, 0.4120838916731795, 0.0733779737669646, 0.0029707904928858, 0.2437966868764175, 0.1135711556851037, 0.2196857901054849, 0.3261269449754898, 0.2403369309077584, 0.2191541690231152, 0.4845217367367282, 0.3451117343607255]",0.7585498120951626,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),18
86,-0.6267133425280386,"[1.0, 0.7658757643343127, 0.6435118596664053, 0.4746992187810799, 0.8649268622817179, 0.3977256945229167, 0.5540627054661321, 0.1717326750908639, 0.0, 0.1713324660701354, 0.1776583780204618, 0.8567798170054016, 0.0673462946054334]",0.02189534752654679,Smallest_ratio_and_filter_by_smallest_t_sub,18
87,-0.6336230685624746,"[1.0, 0.7959645963590019, 0.6835851950540991, 0.5209356156085982, 0.8839345433994753, 0.4434508362040134, 0.5985798509380392, 0.2015475219516705, 0.0, 0.2010975090104773, 0.208200802089099, 0.8767939032715978, 0.0811629290554947]",0.020061547740398922,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,18
88,-0.002457732796989763,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.9936421501271681,Smallest_t_sub_and_choose_top_3_delta_t,18
89,0.05912875755735547,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,18
